order,model_name,feature_restriction,model_type,feature_version,file_name,mean,mean_vizier,mean_non_vizier,bottom_3th_vizier,top_3th_non_vizier,viziers_above_overlap,viziers_in_overlap,non_viziers_in_overlap,persons_in_overlap,train_loss,val_loss,test_loss,test_loss_vizier,test_loss_non_vizier,mean_norm,mean_vizier_norm,mean_non_vizier_norm,bottom_3th_vizier_norm,top_3th_non_vizier_norm,viziers_above_overlap_norm,viziers_in_overlap_norm,non_viziers_in_overlap_norm,persons_in_overlap_norm,train_loss_norm,val_loss_norm,test_loss_norm,test_loss_vizier_norm,test_loss_non_vizier_norm,iry-pat,HAty-a,zA ncwt n Xt.f,wr 5 (m) pr 9Hwty,imy-rA zS(w) a(w) (nw) ncwt,imy-rA izwy (n) Xkr(w) ncwt,aD-mr (n) zAb,Xry-Hbt Hry-tp,imy-rA Snwty,imy-rA prwy-HD,Hry-cStA n wD(t)-mdw nbt nt ncwt,imy-rA kAt nbt (nt) ncwt,zA ncwt n Xt.f cmcw,imAxw,[imAxw xr] nTr aA,imA-a,Hry-cStA,imy iz,Htc(?) Inpw,Xry-Hbt,imAxw xr Wcir,cmr waty,Xry-tp ncwt,xrp aH,r P nb,Hry-cStA n pr-dwAt,imy-rA gc-pr,imy-rA prwy-nbw,zA ncwt,xrp iAwt nbwt nTrwt,zS mDAt-nTr,aA 8wAw,xtm(ty)-bity,imy-rA 5maw,xrp SnDt nbt,imy iz Nxn,iwn knmwt,PC2,dynasty_1,father_was_vizier,wt(y) Inpw,mDH ncwt qd(w) m prwy,aD-mr 8p,mDH zS(w) ncwt
1,step_glm_v1,step,glm,v1,summary_model_coefficients_v0.xlsx,0.018740807421440638,0.5301917978167995,0.007878131519238326,0.002194509059601,0.7033287921871576,4,8,9,17,0.02703499048948288,0.021380027756094933,0.06384091079235077,2.292423725128174,0.016508176922798157,0.21806630422227583,0.5957534645311221,0.11421039931843098,0.002389934480019054,0.7200442301665908,0.4444444444444444,1.0,0.03501945525291829,0.06538461538461539,0.24228195842304515,0.25522317072845335,0.6833570554096502,1.0,0.18572154701541604,0.1700094681793905,0.1904493227496244,0.2331239883789372,0.2504185371602233,0.4195366556952303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,step_nn_v1,step,nn,v1,mlp_step_2025-04-28-20-49-51.pth,0.06564538698786829,0.85493411225,0.0488817326460177,0.86731774,0.9337167,8,4,10,14,0.08155550062656403,0.06740851700305939,0.07662182301282883,0.3553973138332367,0.07070093601942062,0.7638436598685827,0.9606522798279289,0.7086454689472134,0.9445541192411747,0.9559075782387196,0.8888888888888888,0.5,0.038910505836575876,0.05384615384615385,0.7308834238230121,0.8046863006863576,0.8201647298622142,0.15503124921347852,0.7954050452918868,0.3202432397212832,0.596711074735171,0.2260081518265522,0.0656374582437176,0.698204020212094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,lasso_glm_v1,lasso,glm,v1,summary_model_coefficients_v0.xlsx,0.019159694183082755,0.5977237720214766,0.006871607574125713,0.0120305800502312,0.3106247843975644,7,5,41,46,0.02506604976952076,0.017255958169698715,0.04105784371495247,1.5883005857467651,0.008196046575903893,0.2229404318916328,0.6716362068985635,0.09961867773899889,0.013101927262904342,0.31800714862912943,0.7777777777777778,0.625,0.15953307392996108,0.17692307692307693,0.22463672145368574,0.20599226569163626,0.4394856970912962,0.6928477350573399,0.0922077862750009,0.1689652190108114,0.1753768969073022,0.0763138241293228,0.1354165028609477,0.2436820848269269,0.0039478834722561,0.0041530054436363,0.0286621723830605,0.0344732308915813,0.0429848060053495,0.0445993745519631,0.0674302912594978,0.1601919039080036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,lasso_nn_v1,lasso,nn,v1,mlp_lasso_2025-04-29-11-45-14.pth,0.05434827133102253,0.8488160793333334,0.037474618771681414,0.8075262,0.97678554,7,5,26,31,0.08714796602725983,0.060831207782030106,0.07852956652641296,0.4425845146179199,0.07079743593931198,0.6323914655067996,0.9537777123200417,0.5432749077326272,0.8794380230308361,1.0,0.7777777777777778,0.625,0.10116731517509728,0.11923076923076924,0.7810019348770774,0.7261699519985485,0.8405853343576613,0.19306400896421283,0.7964906960268469,0.2297995704788014,0.471956936581992,0.1916141229043335,0.167446501447471,0.4830371943641468,0.0119908744196969,0.2064408449370639,0.0742482368247438,0.1089243841990866,0.0590935905366463,0.0617884691031464,0.3875961899619952,0.079532860405628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ridge_glm_v1,ridge,glm,v1,summary_model_coefficients_v0.xlsx,0.01975835577013714,0.5525947199327087,0.008441477239250665,0.0391273564299047,0.1088608623151525,7,5,80,85,0.03330167382955551,0.022262390702962875,0.03626473993062973,1.3367334604263306,0.008644165471196175,0.22990640282517094,0.6209266537828833,0.12237730278784131,0.04261172576832586,0.11144806905633811,0.7777777777777778,0.625,0.311284046692607,0.3269230769230769,0.2984426703360201,0.26575634082542576,0.38818001790101614,0.5831092418796142,0.09724924753809082,0.0869493462350373,0.0732610356944293,0.0997721346360997,0.1225084579687584,0.0949874501451817,0.0747575356021683,0.0063208765978114,0.0543274931027263,0.0593948984786572,0.0421855277904726,0.0409401644870601,0.0711566099570636,0.1137714756406182,0.0005786323517649,0.0014207922671198,0.0016416782401066,0.0025497604756459,0.0027664562349993,0.0028136095703782,0.0034342384818448,0.0064103778189963,0.0071309416070497,0.0075507277179606,0.0124582910746726,0.0130345577629646,0.0136394676668921,0.01803060880192,0.0195720228745034,0.0216053353111523,0.0233667291547483,0.02355453028473,0.0247010552831583,0.027700328302791,0.0298777829740387,0.0439978104038443,0.0598987698651031,,,,,,,,
6,ridge_nn_v1,ridge,nn,v1,mlp_ridge_2025-04-29-00-50-07.pth,0.07095947648180242,0.8774951696666666,0.05382951485663717,0.8782701,0.7261989,8,4,64,68,0.08551481366157532,0.0640283077955246,0.07059325277805328,0.29141345620155334,0.06590326875448227,0.8256779144014411,0.9860031588396577,0.7803741752572741,0.9564818088021104,0.7434578730557375,0.8888888888888888,0.5,0.2490272373540856,0.26153846153846155,0.766365963256699,0.7643351972399832,0.7556345414166558,0.12712024090801968,0.7414299642955693,0.2741244738695625,0.264458965003945,0.0852229756459213,0.0314025677016211,0.2802241761169499,0.0060129077808448,0.0652987971537263,0.053761906434827,0.0962791714151079,0.097275572073801,0.0235615690166337,0.2100140171046368,0.0316028788506432,0.0212886298501028,0.011489396269722,-0.0041639297684291,0.0503555121731108,0.0073207510114405,-3.808159458757878e-05,0.0898006679409838,0.0751145534260818,-0.0020038784576579,0.0734189121734374,0.0057336372227442,0.0077673745072549,0.0209587848756299,0.0171796393240801,0.0649802096523085,0.0340434849918474,0.0210618744464591,0.035662106804679,0.0818911415573071,0.0365244740044091,0.0038843523812721,0.0317621220039479,0.0044883082306477,,,,,,,,
7,step_glm_v2,step,glm,v2,summary_model_coefficients_v0_v2.xlsx,0.018740807421440638,0.5301917978167995,0.007878131519238326,0.002194509059601,0.7033287921871576,4,8,9,17,0.02703499048948288,0.021380027756094933,0.06384091079235077,2.292423725128174,0.016508176922798157,0.21806630422227583,0.5957534645311221,0.11421039931843098,0.002389934480019054,0.7200442301665908,0.4444444444444444,1.0,0.03501945525291829,0.06538461538461539,0.24228195842304515,0.25522317072845335,0.6833570554096502,1.0,0.18572154701541604,0.1798859563753017,0.1994548769689951,0.1677917772893583,0.1946717505470905,,,,,0.1861210993736799,,,0.1242497480293264,,,,,,,,,,,,,,,,,,,,,,,,,0.1021111715263476,,,,,,,
8,step_nn_v2,step,nn,v2,mlp_step_2025-04-29-11-40-28.pth,0.05220941795667245,0.8899516820000001,0.03441666190619469,0.84265035,0.86182886,9,3,257,260,0.09245435893535614,0.049406491219997406,0.06660828739404678,0.38442936539649963,0.059858109802007675,0.6075039651910842,1.0,0.49894326972266134,0.9176900488309135,0.8823112389644917,1.0,0.375,1.0,1.0,0.8285567237879843,0.5897878846364226,0.7129792256179602,0.16769559710214804,0.6734202574782661,0.3986624522370531,0.4666686535230425,0.1210328461828119,0.0972497152271792,,,,,0.3908202236786685,,,0.301198908179523,,,,,,,,,,,,,,,,,,,,,,,,,0.5054919809381964,0.0004437707321755,0.005550258307861,0.0082055713945648,,,,
9,lasso_glm_v2,lasso,glm,v2,summary_model_coefficients_v0_v2.xlsx,0.018826912029899046,0.572016091027261,0.0070777613255303,0.010434999092317,0.3496222641003305,7,5,42,47,0.024493500590324402,0.01744089275598526,0.04297075420618057,1.6628665924072266,0.008565885946154594,0.2190682094935263,0.6427496038231668,0.10260731815600818,0.011364256629785921,0.35793144941552935,0.7777777777777778,0.625,0.16342412451361868,0.18076923076923077,0.21950565486488244,0.20819991443876903,0.45996160923483803,0.7253748834388165,0.09636858127443594,0.1614684509974126,0.2266113398355983,0.0700700724114076,0.0904967463749231,,,,0.0112755877337557,0.0671710759762203,0.0663800959872467,0.0513750986451612,0.1239843454190157,0.0819868861696885,,,,,,,,,,,,,,,,,,,,,,,,0.064687483393568,,,,,,,
10,lasso_nn_v2,lasso,nn,v2,mlp_lasso_2025-04-29-12-01-40.pth,0.08479818982668978,0.8674219805833333,0.06817609161592922,0.70410943,0.77744734,8,4,32,36,0.11158482730388641,0.08376993238925934,0.09342247992753983,0.30698201060295105,0.08888670802116394,0.986703904714888,0.974684354361761,0.9883585502997566,0.766811782845645,0.7959242926548648,0.8888888888888888,0.5,0.1245136186770428,0.13846153846153847,1.0,1.0,1.0,0.1339115483922097,1.0,0.3475669706471287,0.4308547884580087,0.1077416644342789,0.0755820225149319,,,,0.0612011993185958,0.1670462586364752,0.2210223476104881,0.0642676917343799,0.3093056651729631,0.0707866963409069,,,,,,,,,,,,,,,,,,,,,,,,0.3722797409078962,-0.0001417097050275,0.0001633192567787,-0.0150082668233055,,,,
