ID_title,title,count,P(vizier|title),P(title|vizier),step_glm_v1,step_nn_v1,lasso_glm_v1,lasso_nn_v1,ridge_glm_v1,ridge_nn_v1,step_glm_v2,step_nn_v2,lasso_glm_v2,lasso_nn_v2,ridge_glm_v2,ridge_nn_v2,translation_of_title,type,general_work_classification,recipient,specific_profession
252,iry-pat,72.0,0.6944,0.6667,0.17000946817939058,0.32024323972128327,0.16896521901081146,0.2297995704788014,0.08694934623503736,0.27412447386956257,0.1798859563753017,0.3986624522370531,0.16146845099741264,0.3475669706471287,0.08355169193919985,0.36114007172686236,hereditary prince/nobleman,rank title,,king,
92,HAty-a,96.0,0.6146,0.7867,0.19044932274962445,0.596711074735171,0.17537689690730227,0.471956936581992,0.07326103569442934,0.264458965003945,0.19945487696899514,0.4666686535230425,0.2266113398355983,0.4308547884580087,0.0812565802964088,0.2549036815006057,count,rank title,,king,
361,zA ncwt n Xt.f,31.0,0.6129,0.2533,0.2331239883789372,0.2260081518265522,0.0763138241293228,0.19161412290433352,0.09977213463609973,0.08522297564592139,0.16779177728935832,0.12103284618281196,0.07007007241140767,0.1077416644342789,0.08612733455036713,0.07559709333116184,king's son of his body,royal affiliation,kingship,king,prince(ss)
299,wr 5 (m) pr 9Hwty,17.0,0.8824,0.2,0.2504185371602233,0.06563745824371765,0.13541650286094772,0.16744650144747103,0.1225084579687584,0.031402567701621135,0.19467175054709057,0.09724971522717922,0.09049674637492319,0.07558202251493193,0.1400991934016409,0.04505511784999966,Greatest of the Five in the temple of Thoth,administrative title – legal matters,,,head of legal matters
216,imy-rA zS(w) a(w) (nw) ncwt,52.0,0.7115,0.4933,0.41953665569523035,0.698204020212094,0.2436820848269269,0.4830371943641468,0.09498745014518174,0.28022417611694994,,,,,,,overseer of the royal document scribes,administrative title,royal documents,king,head of royal documents
186,imy-rA izwy (n) Xkr(w) ncwt,21.0,0.7143,0.2,,,0.0039478834722561,0.011990874419696965,0.07475753560216834,0.006012907780844834,,,,,0.06026970788808517,0.0036844651935444336,overseer of the two bureaux of the royal regalia / King's ornament,privacy of King – personal adornment,treasury,king,personal adornment of King
27,aD-mr (n) zAb,99.0,0.1515,0.2,,,0.004153005443636361,0.20644084493706394,0.0063208765978114536,0.06529879715372632,,,,,,,administrator/boundary official of the king judicial aD-mr official,rank title – legal matters,,,legal matters
347,Xry-Hbt Hry-tp,53.0,0.6604,0.4667,,,0.028662172383060514,0.07424823682474381,0.054327493102726374,0.05376190643482709,,,0.01127558773375575,0.061201199318595835,0.047417328893816967,0.04273884804790931,chief lector priest,religious title,religion,,participant in the funerary ceremonies
446,imy-rA Snwty,40.0,0.65,0.3467,,,0.034473230891581316,0.1089243841990866,0.059394898478657296,0.09627917141510792,0.18612109937367993,0.39082022367866853,0.06717107597622031,0.16704625863647526,0.0598176784690027,0.13473884145234014,overseer of the two granaries,administrative title – granary,,,head of granary
445,imy-rA prwy-HD,42.0,0.6429,0.36,,,0.04298480600534952,0.05909359053664635,0.04218552779047264,0.09727557207380107,,,0.0663800959872467,0.22102234761048817,0.06106780696394656,0.1517046872246197,overseer of the two treasuries,administrative title,treasury,,head of treasury
599,Hry-cStA n wD(t)-mdw nbt nt ncwt,20.0,0.7,0.1867,,,0.04459937455196315,0.06178846910314645,0.04094016448706015,0.0235615690166337,,,0.05137509864516125,0.0642676917343799,0.0258214720110077,0.045188877934382955,master of secrets of all commands of the king,privy to the secret – king,,king,
187,imy-rA kAt nbt (nt) ncwt,69.0,0.5362,0.4933,,,0.06743029125949788,0.38759618996199524,0.07115660995706367,0.2100140171046368,0.1242497480293264,0.30119890817952305,0.1239843454190157,0.3093056651729631,0.06182824773172661,0.24568005634536905,overseer of all works of the king,administrative title,organization of labour,king,head of royal works
720,zA ncwt n Xt.f cmcw,15.0,0.7333,0.1467,,,0.16019190390800367,0.079532860405628,0.1137714756406182,0.03160287885064323,,,0.08198688616968854,0.07078669634090697,0.08492858901769677,0.054453826613672464,king's eldest son of his body,royal affiliation,kingship,king,prince(ss)
150,imAxw,197.0,0.1066,0.28,,,,,0.0005786323517649,0.02128862985010283,,,,,0.0010122493739346643,0.021336857495647805,"the honoured one, revered, venerated, the one who has been provided for, endowed (with means)",epithet connected with afterworld,religion,,deceased non-royal individual
16,[imAxw xr] nTr aA,288.0,0.0972,0.3733,,,,,0.0014207922671198943,0.011489396269722042,,,,,0.0018358928373832502,0.010774572655561414,revered with the great god,epithet connected with afterworld,religion,god,deceased non-royal individual
